Time step,Vab,Vbc,Vca,Ia,Ib,Ic,,,,,W1,W2
-0.05,-19.344,238.59,-251.59,3.4148,-2.2625,-1.1367,,Vab(RMS),195.3186945,,-66.0558912,
-0.049992,-18.188,232.19,-250.34,3.4648,-2.1609,-1.118,,Ia(RMS),2.523939974,,-63.0177824,
-0.049984,-18.969,235.28,-250.09,3.4797,-2.2977,-1.0391,,,,,-66.0064293,
-0.049976,-17.156,232.69,-250,3.5961,-2.1375,-1.0891,,,,,-61.6946916,
-0.049968,-19.812,235.25,-249.88,3.4852,-2.1961,-1.1203,,,,,-69.0487824,
-0.04996,-17.062,236.12,-252.44,3.3516,-2.2602,-1.218,,,,,-57.1849992,
-0.049952,-16.906,239.84,-252.59,3.4438,-2.2781,-1.1289,,,,,-58.2208828,
-0.049944,-21.844,235.84,-250.03,3.3687,-2.125,-1.1531,,,,,-73.5858828,
-0.049936,-19.969,235.97,-252.03,3.4281,-2.1602,-1.1211,,,,,-68.4557289,
-0.049928,-21.156,238.78,-245.88,3.4344,-2.1555,-1.1109,,,,,-72.6581664,
-0.04992,-24.781,237.38,-249.16,3.4414,-2.2203,-1.1219,,,,,-85.2813334,
-0.049912,-17.438,238.28,-248.19,3.5492,-2.0688,-1.2016,,,,,-61.8909496,
-0.049904,-21.656,239.03,-245.72,3.425,-2.0773,-1.225,,,,,-74.1718,
-0.049896,-24.188,236.31,-248.59,3.5273,-2.1484,-1.093,,,,,-85.3183324,
-0.049888,-26.969,239.56,-246.09,3.5586,-2.1227,-1.1062,,,,,-95.9718834,
-0.04988,-28.344,233.62,-244.97,3.4992,-2.2,-1.1297,,,,,-99.1813248,
-0.049872,-28.656,240.56,-249.66,3.532,-2.2195,-1.2203,,,,,-101.212992,
-0.049864,-25.375,239.72,-247.44,3.4102,-2.1586,-1.1781,,,,,-86.533825,
-0.049856,-31.438,239.28,-250.34,3.4867,-2.1898,-1.1313,,,,,-109.6148746,
-0.049848,-27.562,235.84,-245.44,3.4164,-2.1406,-1.1383,,,,,-94.1628168,
-0.04984,-30.062,239.69,-243.41,3.3852,-2.1242,-1.1945,,,,,-101.7658824,
-0.049832,-32.188,238.62,-242.94,3.3922,-2.1375,-1.1609,,,,,-109.1881336,
-0.049824,-26.625,242.53,-245.62,3.5992,-2.1391,-1.2211,,,,,-95.8287,
-0.049816,-30.312,241.44,-245.12,3.3398,-2.0086,-1.1625,,,,,-101.2360176,
-0.049808,-34.5,243,-244.75,3.432,-2.0406,-1.2086,,,,,-118.404,
-0.0498,-34.625,243.03,-247.31,3.4094,-2.15,-1.2703,,,,,-118.050475,
-0.049792,-32.625,242.75,-247.12,3.4188,-2.1414,-1.2234,,,,,-111.53835,
-0.049784,-33.344,239.34,-245.72,3.3672,-2.15,-1.1945,,,,,-112.2759168,
-0.049776,-34.531,243.59,-247.03,3.3336,-1.9945,-1.2461,,,,,-115.1125416,
-0.049768,-33.875,241.81,-238.69,3.3563,-2.018,-1.2625,,,,,-113.6946625,
-0.04976,-34.719,244.31,-242.25,3.4922,-2.1445,-1.2375,,,,,-121.2456918,
-0.049752,-34.906,242.66,-242.56,3.2703,-2.0867,-1.35,,,,,-114.1530918,
-0.049744,-30.688,244.31,-240.66,3.4695,-2.0969,-1.2875,,,,,-106.472016,
-0.049736,-40.625,245.78,-241.56,3.5703,-1.9305,-1.3039,,,,,-145.0434375,
-0.049728,-41.75,246.81,-242.94,3.507,-2.0477,-1.2578,,,,,-146.41725,
-0.04972,-39.812,242.94,-237.88,3.5,-1.8594,-1.3813,,,,,-139.342,
-0.049712,-36.344,242.41,-238.12,3.5578,-2.0867,-1.3086,,,,,-129.3046832,
-0.049704,-35.906,244.03,-238.56,3.4727,-2.0125,-1.3813,,,,,-124.6907662,
-0.049696,-43.719,247.81,-240.44,3.4453,-1.9859,-1.2672,,,,,-150.6250707,
-0.049688,-43.594,242.19,-238.56,3.375,-1.9609,-1.2188,,,,,-147.12975,
-0.04968,-40,246.41,-237.78,3.4992,-1.9672,-1.2859,,,,,-139.968,
-0.049672,-39.344,248.06,-237.62,3.5344,-1.8555,-1.4289,,,,,-139.0574336,
-0.049664,-40.938,245.84,-237.34,3.5055,-2.0125,-1.2969,,,,,-143.508159,
-0.049656,-34.906,246.69,-234.72,3.4078,-1.8367,-1.3664,,,,,-118.9526668,
-0.049648,-43.562,246.62,-239.16,3.4398,-1.9695,-1.3539,,,,,-149.8445676,
-0.04964,-41.031,244.47,-239.09,3.5023,-1.9453,-1.3648,,,,,-143.7028713,
-0.049632,-45.344,249.22,-233.97,3.3648,-1.9945,-1.3328,,,,,-152.5734912,
-0.049624,-44.062,245,-238.16,3.4844,-1.9711,-1.3766,,,,,-153.5296328,
-0.049616,-45.344,249.22,-236.22,3.4516,-1.9305,-1.3641,,,,,-156.5093504,
-0.049608,-49.312,245.41,-235.12,3.4211,-1.9195,-1.4109,,,,,-168.7012832,
-0.0496,-51.156,251.38,-236.88,3.5734,-1.8938,-1.3734,,,,,-182.8008504,
-0.049592,-45.688,247.97,-235.75,3.4969,-1.8461,-1.3969,,,,,-159.7663672,
-0.049584,-52.156,248.19,-234.03,3.3813,-1.9,-1.4297,,,,,-176.3550828,
-0.049576,-51.156,249.31,-232.41,3.5141,-1.8539,-1.4711,,,,,-179.7672996,
-0.049568,-48.125,250.66,-235.91,3.4375,-1.8828,-1.3773,,,,,-165.4296875,
-0.04956,-50.156,245.78,-237.66,3.5187,-1.825,-1.4656,,,,,-176.4839172,
-0.049552,-48.469,251.44,-236.44,3.4102,-1.8086,-1.3641,,,,,-165.2889838,
-0.049544,-49.938,246,-232.94,3.3461,-1.9008,-1.4289,,,,,-167.0975418,
-0.049536,-50.812,248.97,-232.62,3.4359,-1.8703,-1.4297,,,,,-174.5849508,
-0.049528,-54.812,251.69,-231.5,3.4578,-1.8117,-1.4758,,,,,-189.5289336,
-0.04952,-56.75,248.22,-234.66,3.3969,-1.925,-1.3953,,,,,-192.774075,
-0.049512,-48.969,249.5,-233.19,3.4969,-1.8484,-1.4867,,,,,-171.2396961,
-0.049504,-58.031,247.69,-235.88,3.3625,-1.9023,-1.4227,,,,,-195.1292375,
-0.049496,-58.781,250.69,-230.59,3.4508,-1.857,-1.443,,,,,-202.8414748,
-0.049488,-54.156,255.56,-231.06,3.3492,-1.8914,-1.3906,,,,,-181.3792752,
-0.04948,-56.531,251.28,-229.41,3.5187,-1.8172,-1.4891,,,,,-198.9156297,
-0.049472,-56.312,252.28,-231.94,3.3961,-1.7305,-1.4688,,,,,-191.2411832,
-0.049464,-56.5,249.72,-232.16,3.4406,-1.7977,-1.5133,,,,,-194.3939,
-0.049456,-56.5,252.31,-230.5,3.482,-1.7859,-1.525,,,,,-196.733,
-0.049448,-57.906,250.03,-230.81,3.493,-1.775,-1.5219,,,,,-202.265658,
-0.04944,-59.25,256.09,-236,3.4719,-1.8008,-1.5258,,,,,-205.710075,
-0.049432,-62.969,252,-227.41,3.5406,-1.7625,-1.5891,,,,,-222.9480414,
-0.049424,-61.219,253.53,-228.22,3.4336,-1.8016,-1.4555,,,,,-210.2015584,
-0.049416,-61.938,252.72,-224.16,3.4859,-1.7539,-1.5484,,,,,-215.9096742,
-0.049408,-62.031,253.72,-226.28,3.4961,-1.8305,-1.4953,,,,,-216.8665791,
-0.0494,-59.062,253.81,-230.03,3.4648,-1.6797,-1.6203,,,,,-204.6380176,
-0.049392,-64.75,255.44,-227.44,3.3828,-1.7023,-1.5867,,,,,-219.0363,
-0.049384,-64.812,258.69,-224.09,3.407,-1.6609,-1.5914,,,,,-220.814484,
-0.049376,-63.844,258.38,-224.53,3.4438,-1.6883,-1.5641,,,,,-219.8659672,
-0.049368,-63.812,253.59,-226.53,3.4898,-1.7836,-1.6367,,,,,-222.6911176,
-0.04936,-66.656,255.72,-226.88,3.4211,-1.6805,-1.5023,,,,,-228.0368416,
-0.049352,-69.375,254.91,-222.22,3.4047,-1.6445,-1.6789,,,,,-236.2010625,
-0.049344,-64.656,258.06,-224.03,3.5805,-1.6766,-1.5758,,,,,-231.500808,
-0.049336,-66.969,258.41,-220.28,3.4594,-1.5609,-1.5742,,,,,-231.6725586,
-0.049328,-64.562,258.44,-220.69,3.4734,-1.7195,-1.5648,,,,,-224.2496508,
-0.04932,-64.969,255.16,-222,3.5055,-1.7383,-1.6531,,,,,-227.7488295,
-0.049312,-72.969,263.06,-222.16,3.482,-1.6234,-1.6453,,,,,-254.078058,
-0.049304,-73.188,255.91,-220.25,3.3492,-1.6148,-1.6344,,,,,-245.1212496,
-0.049296,-70.438,255.84,-220.34,3.4352,-1.6383,-1.5734,,,,,-241.9686176,
-0.049288,-73.344,254.59,-224.41,3.468,-1.5617,-1.5945,,,,,-254.356992,
-0.04928,-70.844,259.91,-223.16,3.4328,-1.6523,-1.7273,,,,,-243.1932832,
-0.049272,-70.812,257.09,-221.59,3.3141,-1.6656,-1.7805,,,,,-234.6780492,
-0.049264,-68.406,261.75,-223,3.4109,-1.6258,-1.7617,,,,,-233.3260254,
-0.049256,-70.781,257.31,-219.41,3.4422,-1.5359,-1.7773,,,,,-243.6423582,
-0.049248,-75.594,261.66,-223.06,3.257,-1.557,-1.6133,,,,,-246.209658,
-0.04924,-74.469,254.94,-216.69,3.507,-1.5391,-1.7164,,,,,-261.162783,
-0.049232,-67.969,259.66,-217.41,3.3703,-1.6156,-1.6422,,,,,-229.0759207,
-0.049224,-76.625,257.19,-219,3.4562,-1.4391,-1.7422,,,,,-264.831325,
-0.049216,-74.844,262.47,-220.81,3.4422,-1.6609,-1.7109,,,,,-257.6280168,
-0.049208,-80.031,256.88,-213.72,3.45,-1.5297,-1.7625,,,,,-276.10695,
-0.0492,-74.906,259.16,-217.94,3.3516,-1.5672,-1.7359,,,,,-251.0549496,
-0.049192,-77.844,259.62,-214.38,3.4273,-1.6258,-1.8719,,,,,-266.7947412,
-0.049184,-79.688,258.16,-215.94,3.575,-1.6297,-1.8523,,,,,-284.8846,
-0.049176,-81.375,261.88,-212.88,3.5828,-1.6055,-1.7984,,,,,-291.55035,
-0.049168,-80.406,266.5,-214.06,3.4742,-1.4766,-1.7133,,,,,-279.3465252,
-0.04916,-77.938,258.34,-214.03,3.4711,-1.557,-1.893,,,,,-270.5305918,
-0.049152,-77.531,260.75,-216.22,3.4641,-1.5023,-1.8219,,,,,-268.5751371,
-0.049144,-81.844,259.09,-215.03,3.4602,-1.5805,-1.8609,,,,,-283.1966088,
-0.049136,-81.844,262.25,-215.62,3.5031,-1.5398,-1.8797,,,,,-286.7077164,
-0.049128,-85.5,258.62,-213.81,3.4586,-1.3609,-1.8391,,,,,-295.7103,
-0.04912,-83.5,262.66,-213.53,3.3539,-1.5711,-1.7523,,,,,-280.05065,
-0.049112,-85.438,258,-213.09,3.4438,-1.4633,-1.8742,,,,,-294.2313844,
-0.049104,-81.156,261.81,-210.16,3.3641,-1.4625,-1.7656,,,,,-273.0168996,
-0.049096,-81.406,257.12,-205.84,3.3984,-1.425,-1.7883,,,,,-276.6501504,
-0.049088,-87.312,266.38,-213.25,3.4758,-1.6055,-1.8453,,,,,-303.4790496,
-0.04908,-84.656,263.16,-208.06,3.4461,-1.4563,-1.768,,,,,-291.7330416,
-0.049072,-86.219,264.12,-212.09,3.3766,-1.5203,-1.8328,,,,,-291.1270754,
-0.049064,-87.781,258.47,-209.69,3.3867,-1.4625,-1.8648,,,,,-297.2879127,
-0.049056,-89.406,264.78,-210.97,3.4195,-1.3672,-1.8914,,,,,-305.723817,
-0.049048,-86.406,264.03,-208.62,3.3406,-1.3508,-1.8313,,,,,-288.6478836,
-0.04904,-88.906,264.41,-210.97,3.3531,-1.4719,-1.9047,,,,,-298.1107086,
-0.049032,-94.875,260.66,-206.44,3.4445,-1.3086,-1.8758,,,,,-326.7969375,
-0.049024,-92.188,265.62,-209.41,3.5336,-1.3242,-1.8508,,,,,-325.7555168,
-0.049016,-91.812,261.19,-206.44,3.425,-1.3492,-1.9789,,,,,-314.4561,
-0.049008,-90.844,264.91,-208.16,3.5164,-1.3875,-1.9227,,,,,-319.4438416,
-0.049,-96.531,262.97,-207.72,3.3469,-1.4148,-1.8992,,,,,-323.0796039,
-0.048992,-94.531,265.16,-205.06,3.4,-1.5203,-1.8313,,,,,-321.4054,
-0.048984,-93.344,261.28,-200.75,3.3258,-1.3828,-1.9539,,,,,-310.4434752,
-0.048976,-92.719,266.25,-204.72,3.4547,-1.4563,-1.9211,,,,,-320.3163293,
-0.048968,-98.406,263.44,-203.47,3.3875,-1.3156,-1.9383,,,,,-333.350325,
-0.04896,-98.781,267.34,-202.38,3.4836,-1.4625,-1.9961,,,,,-344.1134916,
-0.048952,-96.812,264.25,-203.53,3.3531,-1.2812,-2.0078,,,,,-324.6203172,
-0.048944,-96.844,267.31,-201.91,3.3719,-1.3625,-2.0078,,,,,-326.5482836,
-0.048936,-99.219,267.41,-200.41,3.4031,-1.3313,-2.0039,,,,,-337.6521789,
-0.048928,-96.719,265.31,-202.53,3.3766,-1.2531,-1.925,,,,,-326.5813754,
-0.04892,-95.062,265.94,-201.59,3.4172,-1.2273,-1.9875,,,,,-324.8458664,
-0.048912,-96.656,264.69,-202.78,3.4523,-1.25,-1.975,,,,,-333.6855088,
-0.048904,-102,262,-200.28,3.382,-1.275,-1.9516,,,,,-344.964,
-0.048896,-101.12,269.34,-201.44,3.5109,-1.2703,-1.9086,,,,,-355.022208,
-0.048888,-103.12,263.16,-198.19,3.3852,-1.2578,-1.9945,,,,,-349.081824,
-0.04888,-108.72,268.72,-199.47,3.4906,-1.2125,-2.0336,,,,,-379.498032,
-0.048872,-99.781,268.72,-200.34,3.5063,-1.3039,-2.0602,,,,,-349.8621203,
-0.048864,-107.09,268.06,-197.72,3.3297,-1.1383,-1.9914,,,,,-356.577573,
-0.048856,-104.34,267.72,-198.56,3.3727,-1.2289,-2.0672,,,,,-351.907518,
-0.048848,-105.22,270.44,-196.81,3.3906,-1.2281,-1.9312,,,,,-356.758932,
-0.04884,-102.78,265.72,-194.12,3.3469,-1.2203,-2.1531,,,,,-343.994382,
-0.048832,-99.344,269.75,-194.12,3.4195,-1.2375,-2.0469,,,,,-339.706808,
-0.048824,-107.72,267.28,-194.97,3.4594,-1.3133,-2.1469,,,,,-372.646568,
-0.048816,-110.16,269.91,-193.47,3.4539,-1.2242,-2.0016,,,,,-380.481624,
-0.048808,-108.75,270.97,-194.44,3.4711,-1.3328,-2.1328,,,,,-377.482125,
-0.0488,-105.38,272.28,-198.44,3.3844,-1.218,-2.0227,,,,,-356.648072,
-0.048792,-112.25,269.25,-192.62,3.4734,-1.1539,-2.082,,,,,-389.88915,
-0.048784,-106.94,269.28,-195.72,3.4172,-1.15,-2.007,,,,,-365.435368,
-0.048776,-107.22,266.34,-188.81,3.4867,-1.1281,-2.1492,,,,,-373.843974,
-0.048768,-107.78,270.59,-194.97,3.5031,-1.1742,-2.1164,,,,,-377.564118,
-0.04876,-117.97,267.47,-192.41,3.3961,-1.1195,-2.1375,,,,,-400.637917,
-0.048752,-111.44,270.91,-191.06,3.4656,-1.1203,-2.0695,,,,,-386.206464,
-0.048744,-111.91,267.94,-189.09,3.4977,-1.043,-2.1711,,,,,-391.427607,
-0.048736,-115.19,270.84,-192.22,3.5063,-1.0852,-2.1609,,,,,-403.890697,
-0.048728,-117.12,268.25,-188.19,3.4031,-1.2102,-2.1352,,,,,-398.571072,
-0.04872,-117.53,273.09,-190.47,3.4172,-1.0344,-2.1625,,,,,-401.623516,
-0.048712,-110.66,273.38,-186.91,3.3656,-1.1461,-2.1336,,,,,-372.437296,
-0.048704,-120.75,271.81,-191.22,3.3547,-1.0102,-2.132,,,,,-405.080025,
-0.048696,-118.03,274.5,-187.69,3.2914,-1.0305,-2.1805,,,,,-388.483942,
-0.048688,-116.75,276.44,-183.03,3.3492,-1.0352,-2.1867,,,,,-391.0191,
-0.04868,-116.56,272.41,-183.09,3.4633,-0.98516,-2.1828,,,,,-403.682248,
-0.048672,-122.38,270.97,-187.94,3.3781,-1.0258,-2.1992,,,,,-413.411878,
-0.048664,-121.19,271.62,-183.12,3.3234,-1.0328,-2.2734,,,,,-402.762846,
-0.048656,-115.97,273.19,-185.91,3.4312,-0.98359,-2.2977,,,,,-397.916264,
-0.048648,-123,274.69,-185.31,3.4094,-0.90625,-2.3461,,,,,-419.3562,
-0.04864,-119.81,275.66,-184.94,3.45,-0.98828,-2.1891,,,,,-413.3445,
